${MART}.,PMART.
PMART.TSC_TRANS_PRD_AGN_L1_IMM,dev.tsc_trans_prd_agn_l1_imm
PSTAGE.DS_REMD0300_R6_ERR,dev.remd_fact_err
PSTAGE.DWH_2096,dev.stg_dwh_3096_remd
PSTAGE.ST_DWH_2096,dev.dwh_3096_remd
PSTAGE.ST_2096,dev.stg_remd_2096
PMART.REMD_CHK,dev.remd_chk
PMART.MASTMM,dev.m_promo_d
PMART.MM_DIM,dev.m_promo_m
PMART.TSC_PRD_DIM,dev.tsc_prd_dim
PMART.MAST1010,dev.mast1010
PMART.store_rel,dev.m_store_rel
PMART.FACT_AG,dev.fact_ag
PDATA.aghagnm,dev.aghagnm
PSTAGE.ETL_HEADER,dev.inv_etl_header
PSTAGE.TD_INVSUMMARY,dev.stg_invsummary
PSTAGE.DS_PICL3090M,dev.stg_picl3090m
PDATA.ST_PICL3090M,dev.picl3090m
PMART.PICL3090M,dev.picl3090m_summ_dtl
PMART.PICL3090M_SUM,dev.picl3090m_summ
PDATA.DCM_WEAT_INFO,dev.dcm_weat_info
PDATA.DEPAMT_WEAT_AREA,dev.depamt_weat_area
PDATA.OSTORE_WEAT,dev.ostore_weat
PDATA.ST_REMD1400M,dev.budget_store_m
PDATA.ST_REMD1400Y,dev.budget_dept_m
PMART.BASIC_OST_FACT,dev.basic_ost_fact
PMART.BASIC_SFACT,dev.basic_sfact
PMART.MGA_1_5_REMD_DEPT,dev.remd_dept_mga1_5
PMART.OST_DETAIL,dev.remd_ost_dtl
PMART.REMD_CHK,dev.remd_chk
PMART.REMD_FACT,dev.remd_fact
PMART.REMD_FACT_DEPAMT,dev.remd_fact_depamt
PMART.REMD_FACT_DEPAMT_SUM,dev.remd_fact_depamt_sum
PMART.REMD_FACT_GRP_SUM,dev.remd_fact_grp_sum
PMART.REMD_FACT_MONTH,dev.remd_fact_month
PMART.REMD_FACT_MONTH_SUM,dev.remd_fact_month_sum
PMART.REMD_FACT_NCIG,dev.remd_fact_ncig
PMART.REMD_FACT_STYPE_SUM,dev.remd_fact_stype_sum
PMART.REMD_FACT_SUM_NCIG,dev.remd_fact_sum_ncig
PMART.REMD_GRP_D,dev.remd_grp_d
PMART.REMD_GRP_M,dev.remd_grp_m
PMART.TSC_REMD_FACT_30D,dev.tsc_remd_fact_30d
PSTAGE.BUSMREMD2DWH,dev.stg_budget_store_m
PSTAGE.BUSYREMD2DWH,dev.stg_budget_dept_m
PSTAGE.DS_REMD0300_R6_CHKERR,dev.remd_fact_rep
PSTAGE.DS_REMD0300_R6_ERR,dev.remd_fact_err
PSTAGE.DS_REMD0300_R6_I1,dev.stg_remd_fact
PSTAGE.DS_REMD0300_R6_I1CHK,dev.stg_remd_fact_chk
PSTAGE.ST_2096,dev.stg_remd_2096
PMART.,dev.
PDATA.,dev.
PSTAGE.,dev.
